id,title,category,component,asset,threat_actor,preconditions,severity,likelihood,existing_controls,missing_controls,finding_id,status
THREAT-001,Kill switch disarm via unauthenticated watchdog socket,Tampering/Availability,Kill-switch watchdog,ASSET-009,Compromised endpoint (root),Root access on Mac,High,Low,File perms 0600 root; three other panic paths,Peer auth on watchdog socket,FINDING-001,open
THREAT-002,Computer Use grant without phone proof,Elevation of Privilege,Daemon privileged input,ASSET-008,Compromised signed process,Code execution in signed process,Medium,Low,Peer codesig gate; capability tokens; kill switch,Wire DaemonLocalAuthProofVerifier,FINDING-002,open
THREAT-003,Phone trust mode elevation,Elevation of Privilege,Phone Computer Use UI,Trust state,Compromised/stolen phone,Phone access,Medium-High,Medium,Capability gate still enforces scope,Filter UI to downgrade-only,FINDING-003,open
THREAT-004,CloudVault ciphertext relocation (chat_threads/cli_sessions),Information Disclosure,Firestore rules,ASSET-002,Authenticated user,Same-user write access,Medium,Low,validSealedPayloadForUser still validates,Path-bound AAD migration,FINDING-008,open
THREAT-005,Cross-tenant data access via callable,BOLA,All callables,All user data,Authenticated malicious user,Valid Auth token,N/A,Very Low,assertOwnership + Firestore rules + BOLA tests,None,N/A,mitigated
THREAT-006,iroh first-contact MITM,Spoofing,iroh relay pairing,Device communication,Relay operator/network attacker,First-time pairing through compromised relay,Medium,Medium,Key-change pinning; Ed25519 identity,Safety-number confirmation default-on,FINDING-005,accepted-risk
THREAT-007,Prompt injection via indexed content,OWASP LLM01,Local index oracle,Oracle response,Malicious indexed content,Local index poisoning,Low,Low,Snippets framed as untrusted (M-015),Systematic adversarial test suite,N/A,mitigated
THREAT-008,Provider credential exposure via hosted quota,Information Disclosure,Provider credential storage,ASSET-003,Cloud service compromise,GCP KMS/Secret Manager compromise,High,Very Low,KMS encryption; callable-gated; Secret Manager versioning,None,N/A,mitigated
THREAT-009,Supply chain compromise,Supply Chain,CI/CD pipeline,Production deployment,Malicious dependency/compromised maintainer,Dependency compromise + CI execution,Critical,Low,SHA-pinned Actions; lockfile integrity; triple scanning; WIF; SBOM+SLSA+cosign,None,N/A,mitigated
THREAT-010,Privacy leakage via push metadata,LINDDUN Detecting/Linking,Push notification payloads,Communication patterns,Push providers (Apple/Google),Push notifications sent,Low,Medium,Ephemeral correlation IDs; generic labels; I5 CI invariant,None (accepted),FINDING-010,accepted-risk
THREAT-011,Account deletion leaves orphaned Storage blobs,Information Disclosure,Account deletion,ASSET-002,Cloud service,Partial Storage purge failure,Low,Low,Encrypted blobs (no plaintext risk),Reconciliation job,FINDING-013,open
THREAT-012,pop_nonces grows unbounded if TTL fails,Availability,Firestore TTL,Nonce collection,Cloud service,TTL policy not materialized,Low,Low,I6 deploy-time TTL gate,Scheduled reaper,FINDING-015,open
THREAT-013,Extension Sentry lacks recursive scrubber,Information Disclosure,VS Code extension Sentry,Sentry events,Compromised logger,Future code path bypasses logger,Low,Low,Logger pre-redaction,Recursive payload scrubber,FINDING-011,open
THREAT-014,DNS rebinding bypasses SSRF guard,SSRF,SSRF guard,Server resources,Network attacker,User-URL feature lands,Low,Very Low (no user URL today),No user URL reaches fetch today,DNS pinning + redirect re-check,FINDING-009,open
THREAT-015,Stolen App Check attestation valid 30 days,Authentication,App Check,High-risk callables,Stolen device,Device theft + within 30-day window,Medium,Low,Nonce + ownership checks,Tighten max-age to 7 days,FINDING-007,open
THREAT-016,CLI executable hijack from user-writable dirs,Code Execution,CLI executable resolver,Local execution,Same-user attacker,Filesystem compromise,Critical,Low,Same-user boundary; unsigned npm/bun CLIs by design,Trust-store/provenance UX,FINDING-006,accepted-risk
THREAT-017,Firestore App Check not rule-enforced,Bypass,Firestore rules,All Firestore data,Non-app client with valid Auth,App Check not toggled in console,Low,Low,Console-only enforcement,Enable Firestore App Check enforcement,N/A,documented
THREAT-018,Solo operator merge without review,Process,Branch protection,All code,Malicious PR or compromised operator,Direct push to main,Medium,Low,security-pr.yml runs on push:main; pre-commit no-commit-to-branch,Enable + verify branch protection,FINDING-017,open
