T-CRY-01	Medium	STRIDE:Tampering/Spoofing-of-policy; Agentic: MITRE ATLAS AML.T0048	GatewayEventSealer / HermesGatewayAPI	Gateway lane crypto downgrade v3->v2 via server-supplied version advertisement	Hostile/compromised relay or Firestore writer sets client record supportsRelayEnvelopeVersions=[2]/preferredRelayEnvelopeVersion=2 (HermesGatewayAPI.swift:1229-1230); phone seals phone->agent events with weaker bespoke v2 2-DH wrap (GatewayEventSealer.swift:210-218); reply side accepts v2 when wire relayKeyVersion==2 (:890-897).	v2 is still sender-authenticated + confidential (no forgery/plaintext downgrade); keys TOFU-pinned and immutable.	No cryptographic version floor that refuses v2 once v3 negotiated; server controls advertised version. CURE53 T-GW-5 confirms _emit_version_or_refuse unmerged.	Relay forces older, less-standard primitive; cryptanalytic margin only, no practical break of v2.
T-CRY-02	Medium	STRIDE:Spoofing/Tampering	PiAgentCloudRelayHostService	Pi-agent relay request lane has NO sender authentication (v1 ephemeral-static wrap)	decryptRelayRequest opens with PiAgentRelayCrypto.unwrapSymmetricKey (no sender key) at PiAgentCloudRelayHostService.swift:336-340; any writer of users/{uid}/pi_agent_relay_requests with the recipient's published public key can mint a ciphertext that opens, since v1 wrap binds no sender.	Firestore rules scope writes to owner namespace (firestore.rules:3161-3163); confidentiality vs relay holds.	No pinned-sender binding, no counter/replay cache on this lane.	Forged/replayed Pi-agent requests within a compromised owner account or by a write-capable relay; relay cannot read but could inject.
T-CRY-03	Low	STRIDE:Tampering (anti-replay state)	HermesRelayReplayCache	Anti-replay high-water-mark stored in a deletable plaintext file	Delete .../HermesRelay/authenticated-request-replay-cache.json (HermesRelaySenderTrustResolver.swift:151-158) -> maxCounter resets to -1 and requestID set clears -> prior authenticated frames (counter <= old max) replay until counter advances.	Counter is AAD-bound (frame must be a real prior frame, not forgeable); TTL prunes requestIDs; local-only file requires Mac FS access.	No tamper-evidence/monotonic anchor outside the file.	Bounded local replay after filesystem compromise (matches CURE53 T-GW-3).
T-CRY-04	Info	STRIDE:Spoofing (key confusion)	HermesRelayAuthenticatedRequestOpener	Pinned public-key equality is non-constant-time	samePublicKey decodes base64 and uses Data == (HermesRelayAuthenticatedRequest.swift:309-315).	Compared values are PUBLIC keys, not secrets; AEAD tag is the real auth gate.	None material.	Negligible; recorded for completeness, not a real finding.
T-CRY-05	Low	STRIDE:Spoofing/Information disclosure	HermesRelayCrypto	KCI / static-key compromise reads and forges on the affected link (accepted)	Compromise of a recipient static relay key (HPKE Auth shares this bound) decrypts to that recipient and enables peer impersonation toward it.	Documented non-goal (HermesRelayCrypto.swift:13-19); keys in Keychain; not exploitable under relay-only model.	By design no double-ratchet/PQXDH (explicitly banned in header).	Accepted; consistent with stated threat model.
T-CVS-01	Medium	STRIDE:Tampering/Repudiation; agentic-supply-chain	AssistantChatHistoryStore.kt reader fallback / dual-write	Server strips signalEnvelope to force unauthenticated legacy decode	Malicious Firestore writer deletes signalEnvelope field; reader sees null -> FallThrough -> decodes unauthenticated legacy sealedPayload; fail-closed policy never runs (no envelope present)	Legacy AES-GCM still confidential + path-AAD; fail-closed only for PRESENT-but-broken envelopes	No per-doc Signal-required pin; strip indistinguishable from legacy-only doc	Full sender-auth bypass survives until legacy floor removed post-activation (latent; bites once Signal is live)
T-CVS-02	Medium	STRIDE:Spoofing	SignalAtRestFallbackPolicy + senderSetComplete heuristic	senderNotTrusted legacy downgrade window during rollout	Before all trusted devices publish, senderSetComplete==false (size>1 heuristic), so server-forged envelope naming an unpublished device id is accepted as a readiness gap rather than dropped	Only senderNotTrusted is downgrade-eligible; signature required once id resolves	size>1 heuristic; single legitimate peer mis-handled	Time-boxed spoof window during activation ramp
T-CVS-03	High	STRIDE:Information Disclosure; Agentic endpoint compromise	iOS Keychain / AndroidLocalSecretBox / vault key store	Identity/vault private key extractable on compromised unlocked endpoint	Keys at WhenUnlockedThisDeviceOnly (no biometric/SecAccessControl) and AndroidKeyStore wrap without user-auth/StrongBox; app-context code on unlocked device reads raw private/vault key bytes -> forge sender-auth + decrypt all at-rest	Device-only accessibility blocks iCloud/backup exfil; TEE wrap blocks raw-prefs theft	No hardware-bound non-extractable signing, no per-use auth	Endpoint compromise = total at-rest + sender-auth compromise; no PFS to limit blast radius
T-CVS-04	Medium	STRIDE:Information Disclosure	DatabaseEncryptionService recovery bundle	Weak/empty passphrase + low-iteration recovery bundle brute-forced offline	exportRecoveryBundle(empty) derives key from empty/weak password at 100k iters; bundle on disk/cloud offline-grindable; import trusts attacker-supplied iteration count (no floor)	Random 16B salt + AES-GCM integrity	No min-length/zxcvbn gate, no import-side iteration floor, 100k < OWASP 600k	Leaked bundle with weak passphrase yields SQLCipher DB key
T-CVS-05	Medium	STRIDE:Cryptography/Repudiation	SignalAtRestSealer recipient identity seal + persistent vault key	No forward secrecy for at-rest sealing	Content keys wrap to static recipient identity key; vault key long-lived; future identity/vault-key compromise retroactively decrypts all previously captured sealed docs	Per-message random content key; rotation via rewrapCloudVaultDocument (rewrap, not ratchet)	No ephemeral/ratcheted at-rest scheme	No PFS at rest (consistent with threat-model:33 relay concession)
