01-crypto-relay	strong	AES-256-GCM payload AEAD with AAD, 32-byte key pinned	HermesRelayCrypto.swift:306-330 sealToBase64/openBase64
01-crypto-relay	strong	CSPRNG content keys via SecRandomCopyBytes	HermesRelayCrypto.swift:138-147 generateSymmetricKeyData
01-crypto-relay	strong	RFC 9180 HPKE Auth-mode v3 key wrap (sender-authenticated)	HermesRelayCrypto.swift:493-514 sealKeyV3, :524-557 openKeyV3
01-crypto-relay	strong	v3 open binds PINNED sender key, not wire field	HermesRelayAuthenticatedRequest.swift:224-246
01-crypto-relay	strong	Per-lane/per-slot AAD domain separation	HermesRelayCrypto.swift:149-304,590-592 aad()
01-crypto-relay	strong	AAD binds counter+device+peer+keyID+operation	HermesRelayCrypto.swift:157-201 authenticatedRequestAAD/authenticatedKeyAAD
01-crypto-relay	moderate	Replay cache: monotonic counter + per-requestID TTL set	HermesRelayAuthenticatedRequest.swift:123-141 recordFresh
01-crypto-relay	strong	Authenticated opener hard-requires v3 (realtime/iroh/Firestore-request lane)	HermesRelayAuthenticatedRequest.swift:195-208
01-crypto-relay	strong	Host advertises v3-only for realtime/iroh lane	HermesRelayHostService.swift:370-371,435-436
01-crypto-relay	moderate	Multi-factor pinned-sender trust resolution, fail-closed	HermesRelaySenderTrustResolver.swift:59-104,29-57
01-crypto-relay	strong	Reply chunks reuse authenticated request key + chunk AAD	HermesRealtimeRelayHostClient.swift:509-519
01-crypto-relay	strong	v3 open fail-closed, typed, re-throws (no swallow)	HermesRelayCrypto.swift:548-556 openKeyV3 catch
02-cloudvault-signal	strong	AES-256-GCM for all CloudVault at-rest payloads (random nonce/key)	CloudVaultCrypto.swift:435-441/576-580 sealText/sealPayload; CloudVaultCrypto.kt:383-385 sealPayload
02-cloudvault-signal	strong	Path-bound AAD on sealed payload (keyVersion+vaultKeyID)	CloudVaultCrypto.swift:1087-1092 sealedPayloadAAD; CloudVaultCrypto.kt:865-867
02-cloudvault-signal	strong	vaultKeyID match rejects wrong key before open	CloudVaultCrypto.swift:599 openPayload; CloudVaultCrypto.kt:560-561 require
02-cloudvault-signal	strong	Signal at-rest sender-auth: writer signs w/ identity private key, reader verifies vs PINNED key (not wire field)	SignalAtRestSealer.swift:177 sign + 226-242 pin-then-verify; CloudVaultCrypto.kt:434 + 540-554 verifySenderAuth
02-cloudvault-signal	strong	Byte-parity canonical AAD/info binding (NFC, reserved-char fail-closed)	SignalEnvelopeAAD.swift:112-128 signalEnvelopeBindingToAAD; CloudVaultCryptoSupport.kt:27-44 bindingToAAD
02-cloudvault-signal	strong	Length-prefixed signed message prevents separator injection	SignalAtRestSealer.swift:100-129 senderAuthSignedMessage; CloudVaultCrypto.kt:466-492
02-cloudvault-signal	strong	Relocation guard (binding == expectedBinding) + binding in HPKE info	SignalAtRestSealer.swift:218-219; CloudVaultCrypto.kt:507
02-cloudvault-signal	moderate	Fail-closed downgrade policy for PRESENT-but-broken envelope	SignalAtRestFallbackPolicy.swift:35-55; AssistantChatHistoryStore.kt:810-837 decodeSignalThread
02-cloudvault-signal	strong	Signal at-rest activation fail-closed (NOT live)	MobileCloudVaultSignalPayloads.swift:109-120 RC default false; AndroidCloudVaultSignalPayloads.kt:51-55 provider ?: false; verify-signal-activation-parity.sh wired security-pr.yml:160-173
02-cloudvault-signal	moderate	Recovery bundle PBKDF2-HMAC-SHA256 + AES-GCM wrap	DatabaseEncryptionService.swift:161-205 exportRecoveryBundle
02-cloudvault-signal	moderate	iOS key material WhenUnlockedThisDeviceOnly	CloudVaultCrypto.swift:1416/1425; SignalIdentityKeyStore.swift:105; DatabaseEncryptionService.swift:110
02-cloudvault-signal	moderate	Android identity wrap key in AndroidKeyStore AES-GCM	CloudVaultCrypto.kt:1206-1221 AndroidLocalSecretBox.secretKey
03-pairing-trust-revocation	strong	Server-only trust elevation (client cannot self-promote to trusted)	firestore.rules:3448 validEscrowDeviceCreate / :3453 validEscrowDeviceUpdate
03-pairing-trust-revocation	strong	Trust-root collections server-only write	firestore.rules:2665,2677,2774,2784 (iroh_pairing_keys/iroh_pairing/controllers/relay_sender_keys allow create,update,delete: if false)
03-pairing-trust-revocation	strong	Rotation requirements server-only write	firestore.rules:2365 cloud_vault_rotation_requirements (if false)
03-pairing-trust-revocation	strong	Server-side XEd25519 (XEdDSA) trust-chain signature verify, fail-closed	computerUseSecurity.ts:616 verifyXEdDSACurve25519Signature / :706 verifyCloudVaultDeviceTrustChainSignature / :1396 (called) / :1411 (reject)
03-pairing-trust-revocation	strong	Approver must be distinct trusted NATIVE device	computerUseSecurity.ts:1263 requireTrustedNativeApprover / :1284-1290
03-pairing-trust-revocation	strong	Bootstrap self-approval hard-requires fresh single-use nonce	computerUseSecurity.ts:1334 (independent of global flag, enforced posture)
03-pairing-trust-revocation	strong	Single-use high-risk nonce atomic consume	appCheckAttestation.ts:179 consumeHighRiskNonceForUid / :205 mark consumed
03-pairing-trust-revocation	moderate	requireHighRiskNonce default-ON in production	config.ts:92-95 default=looksProd; warn :98 if disabled
