id,domain,prior_severity,current_status,current_severity,residual_risk,evidence
T-TOOL-02,Agentic & Tools (CLI / oracle / Computer Use) — threat families T-AI and T-TOOL,Critical,Open,Critical,"Critical (non-MAS). A prompt-injection the model obeys on an active trusted/all-caps grant yields arbitrary RCE at full user privilege. Local-UI grant MINTING is LAContext-gated and remote grant minting needs a signed proof, but neither re-checks at execution and there is no per-N-action reauth, so a single active YOLO grant remains a standing RCE channel until expiry/revoke.","AgentLens/Services/CLIBridge/CLIArgumentBuilder.swift:52-53,87-88,168-169,189-190 — isYOLOGrant(grant) alone gates --dangerously-skip-permissions / --dangerously-bypass-approvals-and-sandbox; no local-auth-proof precondition at flag emission. ; AgentLens/Services/CLIBridge/CLIArgumentBuilder.swift:215-217 — isYOLOGrant is purely trustMode==.trusted + all-capabilities-subset; no freshness/proof check. ; AgentLens/Services/CLIBridge/OpenAICompatibleChatGatewayClient.swift:367-393 — runShellUnrestricted runs /bin/zsh -lc unsandboxed on only grant.trustMode==.trusted + .shellUnrestricted; comment :374-381 says it 'skips the per-action approver by design' and per-N-action reauth is 'the tracked follow-up'. ; git diff --stat 5416ef780 HEAD -- AgentLens/Services/CLIBridge/CLIArgumentBuilder.swift OpenAICompatibleChatGatewayClient.swift — both empty (byte-identical to audited baseline); AgentSecurityPolicy.swift absent at HEAD (git ls-files / find return nothing)."
T-AI-01,Agentic & Tools (CLI / oracle / Computer Use) — threat families T-AI and T-TOOL,High,Open,High,"High — indirect prompt injection via any non-allowlisted tool output can chain into further tool calls, including shell under YOLO.","AgentLens/Services/CLIBridge/OpenAICompatibleChatGatewayClient.swift:529-532 — shouldWrapUntrustedComputerUseResult still returns true only for browserExtract and macInspectAccessibility (the same 2-tool allowlist), not default-deny. ; AgentLens/Services/CLIBridge/OpenAICompatibleChatGatewayClient.swift:1165-1169 — non-CU tool results (workspace_read_file, shell_run, etc.) appended verbatim as role:tool content with no untrusted wrap. ; OpenBurnBarDaemon/Sources/OpenBurnBarDaemon/OpenBurnBarAnthropicProviderExecutor.swift:791-799 — daemon forwards the same content as Anthropic tool_result with no provenance wrapping. ; git diff --stat 5416ef780 HEAD on OpenAICompatibleChatGatewayClient.swift — empty."
T-AI-02,Agentic & Tools (CLI / oracle / Computer Use) — threat families T-AI and T-TOOL,High,Open,High,High — instruction injection via the user's own parsed conversation history presented to the model as authoritative; durable because the corpus is indexed from agent logs (see T-AI-03).,"AgentLens/Views/Chat/ChatSessionController.swift:1609-1614 — oracle snippet injected as '## OpenBurnBar indexed findings ... Treat the following as authoritative local search results', i.e. explicitly framed trusted, not wrapped as untrusted. ; AgentLens/Views/Chat/ChatSessionController.swift:2411-2418 — sanitizedLocalOracleContext still strips only 4 fixed UI strings; no untrusted-content wrapping of the snippet body. ; git diff --stat 5416ef780 HEAD -- AgentLens/Views/Chat/ChatSessionController.swift — empty (file byte-identical to audited baseline)."
T-AI-07,Agentic & Tools (CLI / oracle / Computer Use) — threat families T-AI and T-TOOL,High,Open,High,"High and conditional on user opt-in to YOLO: once trusted+shellUnrestricted is active, indirect injection from poisoned workspace files/tool output can chain into arbitrary local command execution; audit is attribution, not prevention.","AgentLens/Services/CLIBridge/OpenAICompatibleChatGatewayClient.swift:176-177 — shell_run_unrestricted dispatched in the tool loop; :155 the approval gate is explicitly skipped when grant.trustMode==.trusted. ; AgentLens/Services/CLIBridge/OpenAICompatibleChatGatewayClient.swift:367-393 — only audit (SHA-256 cmd hash, grant id, runtime) before unsandboxed execution; no fresh proof, no reauth. ; grep actionsSinceProof|reauthAfter|requireFreshProofForAction across AgentLens (excl .claude) — no matches: no per-action/per-N-action reauth exists anywhere at HEAD. ; current-state-addendum.md 'Dangerous agent autonomy' row claims this is fixed via AgentSecurityPolicy.swift, but that file is absent at HEAD and on a non-ancestor branch — claim does not apply to HEAD."
T-ATT-01,Attachments & Media (T-ATT family) — Mercury iroh blob transfer + Hermes Gateway attachment paths,High,Open,High,A paired peer can disk-fill / exhaust receiver quota: the full committed blob lands in the Caches inbox before any reject. The cloud GCS finalize path enforces observedByteCount===manifest.byteCount (hermesGateway.ts:1570-1572) but the Mercury P2P path has no equivalent. No test covers an oversize/size-lie reject (MediaFileTransferServiceTests has no such case).,crates/openburnbar-iroh/src/blobs.rs:258-282 — fetch_blob runs downloader.download(...).stream() to completion then store.blobs().export(...) writes the full committed blob to disk with no byte ceiling and no abort on size ; crates/openburnbar-iroh/src/blobs.rs:284 — bytes_total is read from on-disk metadata AFTER export and is never compared to any advertised manifest.size ; AgentLens/Services/Media/MacFileTransferService.swift:391-395 — capabilityGate.check(sessionByteBudget: manifest.size) charges the daily cap on the SENDER-ADVERTISED size before the fetch; a peer can advertise 1KB and commit a multi-GB blob ; OpenBurnBarCore/Sources/OpenBurnBarMedia/MediaFileTransferService.swift:135-152 — fetch() calls backend.fetchBlob with no size argument and returns stats with no equality check vs manifest.size
T-CVS-03,"Crypto, Keys & CloudVault (T-CVS, T-CRY)",High,Open,High,"Endpoint compromise on an unlocked device still yields raw vault/identity key bytes -> forge sender-auth + decrypt all at-rest content; no hardware-bound non-extractable signing, no per-use auth, and no PFS to limit blast radius.","OpenBurnBarCore/Sources/OpenBurnBarCore/SharedModels/CloudVaultCrypto.swift:1426 and :1435 — vault key saved with `kSecAttrAccessibleWhenUnlockedThisDeviceOnly` and NO kSecAttrAccessControl/biometry/SecureEnclave ; android/app/src/main/java/com/openburnbar/data/cloud/CloudVaultCrypto.kt:1210-1218 — AndroidKeyStore wrapping key built with no setUserAuthenticationRequired, no setUnlockedDeviceRequired, no StrongBox; app-context code can unwrap the vault key on an unlocked device ; security/threat-model/REMEDIATION.md:64 — self-states T-CVS-03 is 'partial+decision': only app-controlled keys are SE/biometry-gated and the libsignal/CloudVault piece is still a decision ; SE/biometry/StrongBox hardening that landed is scoped to PhoneControl signing keys (OpenBurnBarComputerUseCore/PhoneControlAuthoritySigningKey.swift; android .../computeruse/PhoneControlSecureEnclaveKeystore.kt:121), NOT CloudVault/Signal-identity keys"
T-DMN-01,Daemon & local desktop (T-DMN),High,Partial,High,"High. The gate stops a non-first-party process and a swapped binary from impersonating an app peer, but a compromised or injected signed first-party app (com.openburnbar.app/.daemon) still passes the DR gate and gains full main-socket RPC: run dispatch, config writes, provider credentials, plus HID input. No capability attenuation and no daemon sandbox limit blast radius; acknowledged High residual. Whether the shipped daemon is actually first-party-signed/notarized in production is Unverifiable from the repo.","OpenBurnBarDaemon/Sources/OpenBurnBarDaemon/OpenBurnBarDaemonServer.swift:577-596 — RR-3: peerAuthenticator.validatePeer runs on the live socket BEFORE reading/honoring any RPC; fail-closed (return) so the bearer token alone can no longer authorize a non-first-party process ; OpenBurnBarDaemon/Sources/OpenBurnBarDaemon/BurnBarDaemonPeerAuthenticator.swift:62-87,99-112 — validatePeer enforces OpenBurnBarPrivilegedTrust code-signature on the accepted peer's audit token when enforced ; OpenBurnBarDaemon/Sources/OpenBurnBarDaemonExecutable/OpenBurnBarDaemonMain.swift:85 — production wires enforced:true by default ; OpenBurnBarDaemon/Tests/OpenBurnBarDaemonTests/BurnBarDaemonServerPeerAuthEnforcementTests.swift:13-40 — e2e test: an enforced server refuses an unsigned peer even with a valid bearer token (reads EOF, no RPC)"
T-DMN-02,Daemon & local desktop (T-DMN),High,Open,High,"High. An RPC-handler parsing/memory bug, or post-compromise foothold, executes with no OS sandbox: full home-dir filesystem, provider credentials, daemon sockets, and HID lane are all in reach. Gatekeeper/notarization is install-time only. No runtime seatbelt and no entitlement minimization on the daemon binary.","project.yml:246-262 — OpenBurnBarDaemonExecutable (the login-user daemon) declares no CODE_SIGN_ENTITLEMENTS and no ENABLE_HARDENED_RUNTIME (contrast lines 264-301 where OpenBurnBarPrivilegedInputExecution and OpenBurnBarVirtualHIDBridge both set ENABLE_HARDENED_RUNTIME: YES and an entitlements file) ; AgentLens/Services/OpenBurnBarDaemon/OpenBurnBarDaemonManager+Lifecycle.swift:273-282 — launchd LaunchAgent runs the daemon as the login user (RunAtLoad/KeepAlive) with home-dir working directory and no seatbelt profile ; OpenBurnBarDaemon/Sources/OpenBurnBarDaemon/OpenBurnBarConfigStore.swift:608-612,1148-1153 — provider secrets/config persisted under 0o700/0o600 home-dir paths reachable by any same-uid code with no OS sandbox boundary"
T-IOS-02,iOS/Apple (T-IOS),,Open,High,Unlocked iPhone full access,AuthGateView.swift:88-97
T-IOS-09,iOS/Apple (T-IOS),,Open,High,Vault + escrow key decryptable,CloudVaultCrypto.swift:1418-1428 ; iOSDeviceKeypair.swift:100-114
T-PRV-01,Privacy & Telemetry (T-PRV),High,Open,High,"High — every call still exposes caller identity plus stable device/connection correlators to two external push sub-processors (Apple/Google), enabling a social/device graph; the documented mitigation does not exist in shipped code.","functions/src/callables/voipPush.ts:39-45 — sharedFields still carries cleartext displayName, connectionId, pairedDeviceId, callId; APNs payload spreads ...sharedFields verbatim (lines 50-55) ; functions/src/callables/voipPush.ts:68-76 — FCM payload still emits caller_name: displayName, connection_id, paired_device_id, call_id, caller_initial in cleartext to Google ; functions/src/apnsSender.ts:220, 257, 368 — sender forwards the stored payload object verbatim to APNs (req.end(JSON.stringify(args.payload))); no minimization between queue and provider ; git diff 5416ef780 HEAD -- functions/src/callables/voipPush.ts — EMPTY (0 changes); addendum commit 6eb8340d1 is NOT an ancestor of HEAD (never merged) and its voipPush.ts is also byte-identical cleartext"
