"id","title","category","framework_mapping","component","data_flow","asset","threat_actor","preconditions","attack_path","impact","likelihood","severity","existing_controls","gaps","residual_risk","detection","tests","evidence","owner","priority","cure53_relevance"
"T-TOOL-02","YOLO emits --dangerously-skip-permissions and runs unsandboxed shell at full user privilege","Agentic: Excessive Agency; LLM02 insecure output handling","LLM02; Agentic","CLIArgumentBuilder / OpenAICompatibleChatGatewayClient.runShellUnrestricted","Agent<->Tools / CLI subprocess","Local shell, filesystem, granted agent capabilities","Prompt-injection adversary or malicious CLI agent runtime","An active grant (esp. workspace_write/shell/YOLO/Trusted) on the session","isYOLOGrant (CLIArgumentBuilder.swift:52,87,168,189,215) adds --dangerously-skip-permissions/--dangerously-bypass-approvals-and-sandbox; broker runShellUnrestricted (:367) runs /bin/zsh unsandboxed with no approval. Prompt injection the model obeys => arbitrary RCE.","Critical","Medium","Critical","Requires .trusted+all caps, local-auth (LAContext) at mint, hashed audit log of command","No per-N-action re-auth (TODO :381); audit is attribution not prevention","Critical (non-MAS); partly reduced in MAS where .shellUnrestricted blocked but CLI dangerous flags still un-guarded","ComputerUse audit chain; CLI process registry; grant/approval audit events","See security-test-plan.md (T-TOOL); automated regression recommended","CLIArgumentBuilder / OpenAICompatibleChatGatewayClient.runShellUnrestricted","AgentLens (CLIBridge/ComputerUse)","P0 (must-fix before audit)","HIGH — prioritize for audit"
"T-TRN-01","Cloud-substituted pairing public key MITMs the verified iroh link","STRIDE:Spoofing/Tampering; LINDDUN:Non-repudiation; Agentic:control-channel-hijack","STRIDE; LINDDUN; Agentic","FirestoreIrohPairingPublicKeyProvider + iOS pairing verify","Device<->Device iroh / relay / Firestore fallback","iroh control channel; transport metadata (NodeIds, IPs, timing)","Malicious cloud/admin or relay operator","Control of the Firestore pairing directory / relay, OR network position","Malicious/compromised cloud, Firebase project takeover, or rogue admin writes users/{uid}/iroh_pairing_keys/host plus a matching signed iroh_pairing record at an attacker NodeId; iOS fetches that key with no out-of-band/TOFU pin (FirestoreIrohPairingPublicKeyProvider.swift:27-47, in-memory cache only, never persisted/rotated), verifies the attacker signature (HermesIrohRelayTransport.swift:385), and dials the attacker QUIC endpoint","Critical","Low","Critical","firestore.rules:2661-2665 keep docs server-owned + callable-gated (AppCheck/high-risk nonce/trusted escrow); separate E2E HermesRelayCrypto layer means MITM still cannot read payloads","No TOFU/safety-code pinning of host pairing key on iOS; transport identity trust = whatever Firestore returns","Compromised cloud can redirect/hijack/drop the iroh control channel and force downgrade; payload confidentiality survives only via the independent E2E layer","iroh_fallback_to_wss / fallback-rate audit events; pairing-key change audit","See security-test-plan.md (T-TRN); automated regression recommended","FirestoreIrohPairingPublicKeyProvider + iOS pairing verify","Transport (iroh)","P0 (must-fix before audit)","HIGH — prioritize for audit"
"T-AI-01","CU tool results outside 2-tool allowlist injected raw into model context","OWASP LLM01 Prompt Injection / Agentic tool-output poisoning / MITRE ATLAS AML.T0051","ATLAS; LLM01; OWASP LLM; Agentic","OpenAICompatibleChatGatewayClient (AgentToolBroker.payload / tool loop)","Untrusted content (RAG/tool/web/log)<->model context","Agent context/memory; downstream tool-call decisions","Indirect prompt-injection adversary (content author)","Attacker controls text that enters an active agent's context","Agent calls read_file/run_terminal/browser_screenshot or any non-allowlisted tool on attacker-controlled file/page/process; result.content appended verbatim as role:tool (OpenAICompatibleChatGatewayClient.swift:1165-1169); daemon forwards as Anthropic tool_result (OpenBurnBarAnthropicProviderExecutor.swift:798).","High","Medium","High","browser_extract + mac_inspect_accessibility wrapped (shouldWrapUntrustedComputerUseResult:529).","Allowlist not default-deny; file/shell/screenshot/clipboard tool output unwrapped.","Indirect prompt injection that can chain into further tool calls including shell under YOLO.","Provenance-wrap coverage gaps; tool-loop audit; oracle/RAG source tagging (missing)","See security-test-plan.md (T-AI); automated regression recommended","OpenAICompatibleChatGatewayClient (AgentToolBroker.payload / tool loop)","AgentLens (Context/Chat)","P1 (should-fix before launch)","HIGH — prioritize for audit"
"T-AI-02","Oracle 'authoritative findings' inject unwrapped indexed snippets","OWASP LLM01 / LLM08 Vector&Embedding Weaknesses / Agentic memory poisoning","LLM01; LLM08; OWASP LLM; Agentic","ChatSessionController oracle/hybrid context path","Untrusted content (RAG/tool/web/log)<->model context","Agent context/memory; downstream tool-call decisions","Indirect prompt-injection adversary (content author)","Attacker controls text that enters an active agent's context","Malicious agent log on disk -> parsed ConversationRecord.fullText -> indexed -> matched -> snippet placed in oracle message (appendJumpTargetSummary) -> injected at ChatSessionController.swift:1609-1614 as 'authoritative local search results'.","High","Medium","High","sanitizedLocalOracleContext (ChatSessionController.swift:2411) strips 4 UI strings only.","No untrusted wrapping; same snippet is wrapped in evidence pack but UNWRAPPED here and explicitly framed trusted.","Instruction injection via own conversation history presented to model as authoritative.","Provenance-wrap coverage gaps; tool-loop audit; oracle/RAG source tagging (missing)","See security-test-plan.md (T-AI); automated regression recommended","ChatSessionController oracle/hybrid context path","AgentLens (Context/Chat)","P1 (should-fix before launch)","HIGH — prioritize for audit"
"T-AI-07","Unrestricted shell obeys injected instructions under YOLO (injection-to-RCE)","OWASP LLM01 -> LLM06 Excessive Agency / Agentic","LLM01; LLM06; OWASP LLM; Agentic","OpenAICompatibleChatGatewayClient runShellUnrestricted","Untrusted content (RAG/tool/web/log)<->model context","Agent context/memory; downstream tool-call decisions","Indirect prompt-injection adversary (content author)","Attacker controls text that enters an active agent's context","Indirect injection (T-AI-01/02/03) instructs model to call shell_run_unrestricted (OpenAICompatibleChatGatewayClient.swift:367), which runs unsandboxed at user privilege.","High","Medium","High","Requires trustMode==.trusted + .shellUnrestricted capability + SHA-256 command audit.","No per-N-action re-auth (acknowledged in code comment); skips per-action approver by design.","Full local compromise when YOLO/trusted mode is enabled; conditional on user opt-in.","Provenance-wrap coverage gaps; tool-loop audit; oracle/RAG source tagging (missing)","See security-test-plan.md (T-AI); automated regression recommended","OpenAICompatibleChatGatewayClient runShellUnrestricted","AgentLens (Context/Chat)","P1 (should-fix before launch)","HIGH — prioritize for audit"
"T-ATT-01","Decompression/oversize resource exhaustion via lied-about Mercury manifest.size","STRIDE Tampering+DoS / Agentic resource-exhaustion; CWE-409/770/400","STRIDE; CWE-409; Agentic","MediaFileTransferService.fetch + iroh fetch_blob + Mac capability gate","Attachment upload/download + Mercury media transfer","Attachment/media bytes; receiver disk/quota; parsers","Malicious paired peer or attachment uploader","A paired peer or an authenticated upload session","Peer advertises size=1KB (passes daily byte cap charged on manifest.size at MacFileTransferService.swift:391-395) but BlobTicket commits to a multi-GB blob; fetch_blob (blobs.rs:258-282) downloads the full committed blob to Caches with no streaming size cap and never compares actual bytes_total (284) to manifest.size.","High","Medium","High","Capability gate on advertised size; iroh BLAKE3 integrity","No streaming byte ceiling on iroh download and no post-fetch size==manifest.size reject; GCS finalize size-equality check (1570) has no Mercury equivalent.","Disk-fill / quota exhaustion on receiver before any reject.","Storage finalize size/hash mismatch logs; media budget/kill metrics; quarantine xattr (missing on Mercury)","See security-test-plan.md (T-ATT); automated regression recommended","MediaFileTransferService.fetch + iroh fetch_blob + Mac capability gate","Backend + Media","P1 (should-fix before launch)","HIGH — prioritize for audit"
"T-CVS-03","Identity/vault private key extractable on compromised unlocked endpoint","STRIDE:Information Disclosure; Agentic endpoint compromise","STRIDE; Agentic","iOS Keychain / AndroidLocalSecretBox / vault key store","Client<->Firestore client-sealed sync","CloudVault at-rest content; vault & identity private keys","Compromised unlocked endpoint / curious cloud operator","Read access to Firestore ciphertext, OR code running as the app on an unlocked device","Keys at WhenUnlockedThisDeviceOnly (no biometric/SecAccessControl) and AndroidKeyStore wrap without user-auth/StrongBox; app-context code on unlocked device reads raw private/vault key bytes -> forge sender-auth + decrypt all at-rest","High","Low","High","Device-only accessibility blocks iCloud/backup exfil; TEE wrap blocks raw-prefs theft","No hardware-bound non-extractable signing, no per-use auth","Endpoint compromise = total at-rest + sender-auth compromise; no PFS to limit blast radius","Firestore read audit; at-rest open-failure metrics; key-access logs (endpoint side)","See security-test-plan.md (T-CVS); automated regression recommended","iOS Keychain / AndroidLocalSecretBox / vault key store","Crypto/Core + Mobile","P1 (should-fix before launch)","HIGH — prioritize for audit"
"T-DMN-01","Compromised first-party app is fully trusted by daemon (code-sign == authZ)","STRIDE:Elevation / Agentic:excessive-agency (no per-op attenuation)","STRIDE; Agentic","Main + HID sockets / BurnBarDaemonPeerAuthenticator, PrivilegedPeerAuthenticator","App<->Daemon unix socket / privileged HID socket","Local system control, HID, credentials, daemon RPC","Same-user malware or a compromised signed first-party app","Code execution as the login user OR compromise of a signed first-party binary","Code running inside or injected into the signed com.openburnbar.app/.daemon passes the DR gate, then has full main-socket RPC (run dispatch, config writes, provider creds) + HID input.","High","Medium-High","High","Hardened runtime + library validation block non-first-party dylib injection; bearer token + DR gate.","Code-signature identity is used as authorization; no capability attenuation at daemon; no sandbox to contain post-compromise.","High — single signed-app RCE = full local agency + credential access (acknowledged in threat-model:154).","Daemon peer-auth rejections; ComputerUse audit hash-chain; launchd/binary integrity","See security-test-plan.md (T-DMN); automated regression recommended","Main + HID sockets / BurnBarDaemonPeerAuthenticator, PrivilegedPeerAuthenticator","Daemon/Core","P1 (should-fix before launch)","HIGH — prioritize for audit"
"T-DMN-02","Daemon runs unsandboxed as login user with broad filesystem access","STRIDE:Elevation","STRIDE","Daemon process / entitlements (app-sandbox=false)","App<->Daemon unix socket / privileged HID socket","Local system control, HID, credentials, daemon RPC","Same-user malware or a compromised signed first-party app","Code execution as the login user OR compromise of a signed first-party binary","User LaunchAgent runs daemon with App Sandbox disabled; an RPC-handler parsing bug or memory bug gives a foothold with no OS sandbox boundary, home-dir FS + provider creds + sockets in reach.","High","Medium-High","High","Gatekeeper/notarization (install-time only), hardened runtime.","No runtime seatbelt sandbox; no entitlement minimization on daemon binary.","High","Daemon peer-auth rejections; ComputerUse audit hash-chain; launchd/binary integrity","See security-test-plan.md (T-DMN); automated regression recommended","Daemon process / entitlements (app-sandbox=false)","Daemon/Core","P1 (should-fix before launch)","HIGH — prioritize for audit"
"T-IOS-02","No app-level biometric/passcode re-auth gate","Spoofing / Elevation (MASVS-AUTH-1)","MASVS; ASVS","AuthGateView.swift, OpenBurnBarMobileApp.swift","iOS app<->Keychain/AppGroup/APNs","iOS local data, vault/escrow keys, pasteboard, push payloads","Thief with unlocked phone, malicious sibling app, or backup extractor","Physical access to an unlocked device, a malicious co-resident app, or a device backup","Lost-but-unlocked iPhone gives full app access: send prompts, control paired Mac, read chat, trigger panic; Firebase session persists; WhenUnlocked vault/escrow keys decrypt freely","High","Medium","High","Per-sensitive-ComputerUse-action step-up for some flows","No global Face ID/passcode gate to enter app or view chat/vault data","Full takeover of a high-trust endpoint on an unlocked unattended device","n/a on-device (no jailbreak detection); MDM/backup posture; APNs payload review","See security-test-plan.md (T-IOS); automated regression recommended","AuthGateView.swift, OpenBurnBarMobileApp.swift","Mobile-iOS","P1 (should-fix before launch)","HIGH — prioritize for audit"
