id,title,category,framework_mapping,component,data_flow,asset,threat_actor,preconditions,attack_path,impact,likelihood,severity,existing_controls,missing_controls,residual_risk,detection_opportunity,test_cases,evidence,owner_suggestion,priority,status,score_impact
THREAT-001,Unauthorized daemon Computer Use action after first-party process compromise,Elevation of privilege,OWASP Agentic excessive agency; CWE-863,OpenBurnBarDaemon,FLOW-006/FLOW-007,ASSET-008,compromised endpoint or admitted local process,daemon admission satisfied,invoke Computer Use while verifier is nil,high-impact local action under weaker authorization,medium,High,"socket token; code-signature peer auth; capability profile; approval/audit","production local-auth proof wiring",high until fixed,Computer Use action without proof id,production config rejects missing/stale/replayed proof,"OpenBurnBarDaemonMain.swift:54-86; RPCComputerUse.swift:111-132",Daemon / Computer Use,P0,open,-12
THREAT-002,Daemon Computer Use ignores remote kill switch or entitlement suspension,Policy bypass,OWASP Agentic excessive agency,Daemon ComputerUseService,FLOW-007,ASSET-008,suspended user or compromised account,daemon browser action path used,context supplies killSwitch false and active entitlement,actions continue despite suspension or kill switch,medium,Medium,"capability gate; approvals; caps","live entitlement and Remote Config context",medium,deny decision absent when switch enabled,daemon denies killSwitch true and inactive entitlement,"ComputerUseService.swift:108-149; ComputerUseService.swift:285-310",Computer Use / Entitlements,P1,open,-5
THREAT-003,Billing redirect phishing through weak return URL validation,Open redirect/phishing,CWE-601; OWASP Web,Stripe callables,FLOW-008,ASSET-012,authenticated malicious user,can call checkout or portal callable,pass non-HTTPS attacker host containing localhost,phishing or callback confusion,medium,Medium,"Auth; App Check; Stripe hosted checkout; webhook signature","exact loopback and HTTPS allowlist",medium,unusual return URL logs,URL validator rejects localhost-substring hosts,"validators.ts:344-356; stripe.ts:229-254",Functions / Billing,P1,open,-4
THREAT-004,Direct Firestore access without deployed App Check enforcement,Deployment drift,NIST Zero Trust verify every access,Firestore,FLOW-003/FLOW-004,ASSET-009,compromised user or scripted client,production App Check off or unknown,direct SDK access with Auth but no app attestation,larger abuse surface,medium,Medium,"owner-scoped rules; Functions App Check","deployment verifier",medium,Firebase config drift alert,release verifier fails when App Check off,"firestore.rules:20-23; appCheckAttestation.ts:1-8",Cloud/Ops,P1,open,-5
THREAT-005,Public endpoint denial-of-wallet or availability abuse,Denial of service,OWASP API unrestricted resource consumption,Public Functions,public HTTP,ASSET-013,unauthenticated internet attacker,public endpoint reachable,repeated calls to public endpoint,cost or availability degradation,medium,Medium,"validation; maxInstances; signatures for webhooks","complete public rate-limit inventory",medium,rate/cost anomaly,public endpoint limiter tests,"endpointAuthorizationCatalog.generated.ts; routerRundown.ts:205-220",Functions / Cloud Ops,P1,open,-3
THREAT-006,Irreversible deletion without durable audit evidence,Privacy non-repudiation,LINDDUN Non-repudiation,Data deletion,FLOW-009,ASSET-009/ASSET-013,compromised account or system fault,audit write fails,deletion completes with no audit record,weak compliance and incident evidence,low-medium,Medium,"Auth; App Check; confirmation; domain registry","required pre-delete audit intent",medium,deletion without audit record,simulate audit failure,"dataDeletion.ts:105-113; auditLog.ts:171-184",Privacy / Functions,P1,open,-3
THREAT-007,CI/CD deploy credential compromise,Supply chain,SLSA; NIST SSDF,GitHub Actions,FLOW-010,ASSET-010,malicious insider or secret thief,deploy secret available,use long-lived service account JSON or Firebase token,malicious deploy or config change,low-medium,Low,"production environment; OIDC permission; rollback","WIF-only production deploy",medium,unexpected deploy or secret use,workflow policy blocks long-lived fallback,"deploy-production.yml:109-119; deploy-production.yml:193-201",Platform / Release,P2,open,-3
THREAT-008,Unsupported privacy or E2EE claim creates user and audit risk,Claims/privacy,LINDDUN Unawareness,Cloud Vault claims,claims,ASSET-004,product/audit risk,broad external wording,claim universal Signal-quality E2EE,user misunderstanding and audit failure,medium,Low,"AES-GCM AAD; crypto docs","claim lint and copy review",medium,security copy review,claim lint blocks forbidden wording,"CloudVaultCrypto.swift:202-223",Product / Security,P2,open,-2
THREAT-009,Local encrypted database availability loss from non-persisted key,Availability,OWASP MASVS storage,SQLCipher local DB,local storage,ASSET-002/ASSET-004,system fault,Keychain SecItemAdd fails,service returns generated key and creates DB,future unreadable local DB,low,Low,"Keychain; recovery bundle","fail closed on key persistence failure",low,error logs,inject SecItemAdd failure,"DatabaseEncryptionService.swift:95-117",macOS data store,P2,open,-2
THREAT-010,Remote MCP token replay or over-scoped access,API authorization,OWASP API broken auth,Hosted MCP,FLOW-005,ASSET-006,stolen token holder,token stolen within validity,use token against hosted MCP,scoped data access,low-medium,Medium,"15m tokens; refresh hash rotation; scopes; entitlement; rate limits","key rotation runbook",low,token jti hash anomaly,expired/revoked/scope tests,"auth.ts:152-187; oauthToken.ts:106-171",Hosted MCP,P2,controlled,0
THREAT-011,Cross-user Firestore data access,BOLA/IDOR,OWASP API BOLA; CWE-639,Firestore/Functions,FLOW-003,ASSET-009,authenticated malicious user,endpoint or rule bug,request another uid data,sensitive cross-user exposure,low,High,"owner rules; assertOwnership; endpoint matrix tests","keep generated catalog current",low,access denied/error telemetry,IDOR/BOLA tests,"auth.ts:22-31; firestore.rules",Backend,P1,controlled,0
THREAT-012,Sensitive data leakage through logs or crash reports,Information disclosure,CWE-532; LINDDUN Data disclosure,Logging/Sentry,logging,ASSET-013,bug or compromised processor,sensitive data enters logs,scrubber miss or unreviewed log path,privacy incident,low-medium,Medium,"recursive scrubbers; Sentry beforeSend; hosted MCP redaction","periodic log sampling proof",low,secret pattern alert,log scrubber regression tests,"logging.ts:16-153; AgentLensApp.swift:1842-1907",Ops / Security,P2,controlled,0

